=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=1952753 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1954007 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1955261 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1956515 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1957769 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1959023 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1960277 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1961531 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1962785 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1964039 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1965293 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1966547 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1967801 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1969055 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1970309 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1971563 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1972817 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1974071 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1975325 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1976579 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1977833 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1979087 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1980341 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1981595 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1982849 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1984103 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1985357 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1986611 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1987865 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1989119 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1990373 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1991627 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1992881 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1994135 cnt=0000 reload=FB1A ctl=0080
