=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=1952757 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1954011 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1955265 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1956519 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1957773 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1959027 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1960281 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1961535 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1962789 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1964043 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1965297 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1966551 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1967805 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1969059 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1970313 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1971567 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1972821 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1974075 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1975329 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1976583 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1977837 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1979091 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1980345 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1981599 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1982853 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1984107 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1985361 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1986615 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1987869 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1989123 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1990377 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1991631 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1992885 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1994139 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1995393 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1996647 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1997901 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=1999155 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2000409 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2001663 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2002917 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2004171 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2005425 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2006679 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2007933 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2009187 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2010441 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2011695 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2012949 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2014203 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2015457 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2016711 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2017965 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2019219 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2020473 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2021727 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2022981 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2024235 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2025489 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2026743 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2027997 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2029251 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2030505 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2031759 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2033013 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2034267 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2035521 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2036775 cnt=0000 reload=FB1A ctl=0080
