=== GBA Test Suite Runner ===
ROM:  tests/assets/roms/suite.gba
BIOS: tests/assets/roms/gba_bios.bin
Booting...
TMR overflow t=0 cyc=2795441 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2796695 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2797949 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2799203 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2800457 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2801711 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2802965 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2804219 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2805473 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2806727 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2807981 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2809235 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2810489 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2811743 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2812997 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2814251 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2815505 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2816759 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2818013 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2819267 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2820521 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2821775 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2823029 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2824283 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2825537 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2826791 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2828045 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2829299 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2830553 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2831807 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2833061 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2834315 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2835569 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2836823 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2838077 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2839331 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2840585 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2841839 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2843093 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2844347 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2845601 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2846855 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2848109 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2849363 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2850617 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2851871 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2853125 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2854379 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2855633 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2856887 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2858141 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2859395 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2860649 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2861903 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2863157 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2864411 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2865665 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2866919 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2868173 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2869427 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2870681 cnt=0000 reload=FB1A ctl=0080
TMR overflow t=0 cyc=2871935 cnt=0000 reload=FB1A ctl=0080
